Name	Address	Email	Email2	Phone	Phone2	Code
Joshua Atwood	East Lake, Kingston 20	atwoodj@grr.la		'+1876-555-1234		J01
Emerald Palace	150 Old Hope Road, Kingston 6	emerald.palace@grr.la	emeralds@sharklasers.com	'+1876-555-3215		E02
Bruce Wayne	26 Knutsford Blvd, Kgn 5	waynebruce@grr.la		'+1954-554-5698		B03
Diana Prince	Nashville, TN USA	wonderwoman@grr.la		'+49-5-67-55842		D04
Barry Allen	Old Stony Hill Rd, Kgn 8	ball@spam4.me				B05
Lara Croft	Moray, Scotland	archeologist@grr.la		'+44-1346-998-447		L07
Donald Gump	Manhattan, NY USA	therealdonald@grr.la		(212) 875-6894		D08
Paris Patterson	Savannah-La-Mar, Westmoreland	pparis@sharklasers.com		'+1876-555-6658		P06
Sally Wright	Santa Cruz, St. Elizabeth	sally@sharklasers.com	wrights@grr.la	'+1876-555-9999	'+1876-655-5598	S12
Jason Gray	Gregory Park, St. Catherine			'+1876-555-1454	'+1876-355-7398	J14
Maria Kindelan	Spanish Town, St. Catherine	mcruz@grr.la	mariamaria@sharklasers.com			M13
Eli Broward	Toronto, ON. Canada			(647) 555-6698	(647) 555-7785	E18
Francine Shore		f.shore@guerrillamail.biz				F09
David King		kingdavid@grr.la	kingdavid@guerrillamail.net			D15
Adrian Raymond	45 Barnett Street, Montego Bay, St. James	rayad@grr.la	adrian.raymond@guerrillamail.org	'+1876-655-9794		A10
Leonard Davis	Moneague, St. Ann	lennyd@spam4.me		'+1876-981-2652	'+1876-389-8969	L17
Peter Parker	Brooklyn, NY USA	parker@spam4.me				P11
Margaret Carter	Los Angeles, CA USA	agentcarter@grr.la				M16
